Unnamed: 0,한국아동·청소년패널조사 2018 중등용 코드북,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,
,문항,,,변수명,값,값설명
,,,,,,
,-,,,ID,-,종단자료 연계를 위한 고유 ID
,,,,HID,-,가구 ID
,,,,PID,-,개인 ID
,,,"과학/정보 관련 활동(경진 대회, 과학 실험 등)",YACT1B02,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,"모험/개척 관련 활동(탐사·등반, 야영 등)",YACT1B03,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,"자원봉사활동(일손 돕기, 자선·구호 등)",YACT1B04,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,"직업/진로 관련 활동(직업 체험, 진로 탐색 등)",YACT1B05,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,국제 교류 활동,YACT1B06,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,"건강/보건 관련 활동(신체단련, 안전·응급처치 등)",YACT1B07,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,"자기(인성)계발 관련 활동(자기표현, 마음 수련 등)",YACT1B08,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,"환경 보존 관련 활동(생태·숲 체험, 환경 살리기 등)",YACT1B09,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,"지난 1년 동안 다음과 같은 동아리 활동에 참여한 경험이 있습니까?경험이 있다면 총 참여 횟수가 얼마나 되는지, 또한 그 경험이 얼마나 만족스러웠는지 응답해 주십시오.",지난 1년간 참여 횟수,"교내 공식 동아리(방송반, 컴퓨터반 등 학교에서 인정한 모임)",YACT2A01,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)",YACT2A02,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,(참여한 적이 있다면)만족도,"교내 공식 동아리(방송반, 컴퓨터반 등 학교에서 인정한 모임)",YACT2B01,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,,,"교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)",YACT2B02,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
,특별히 좋아하는 연예인이나 운동선수가 있습니까?,,,YACT3A00,1,있다
,,,,,2,없다
,좋아하는 연예인이나 운동선수와 관련하여 다음과 같은 행동을 얼마나 자주 했는지 응답해 주십시오.,팬미팅(싸인회) 참석하기,,YACT3B01,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,팬클럽이나 팬카페 활동하기,,YACT3B02,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,"방송국이나 공연장, 영화관(시사회), 경기장, 행사장가기",,YACT3B03,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,팬레터 쓰기 및 메시지 보내기,,YACT3B04,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,선물 보내기,,YACT3B05,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,"SNS, 블로그, 트위터, 기사 등에 댓글 달기",,YACT3B06,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,사진과 동영상 감상 및 업로드하기,,YACT3B07,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,"책, CD, DVD, 화보집 구입하기",,YACT3B08,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,,"굿즈(응원봉, 캐릭터, 플래카드, 인형 등) 만들기 또는 구입하기",,YACT3B09,1,전혀없다
,,,,,2,1년에 1~2번
,,,,,3,한 달에 한 번
,,,,,4,한 달에 2~3번
,,,,,5,1주일에 1번
,,,,,6,1주일에 여러 번
,지난 학기(조사년도 1학기) 전 과목 성적은 다음 중 어디에 해당한다고 생각하십니까?,,,YINT1A00,1,매우 못함
,,,,,2,못함
,,,,,3,보통
,,,,,4,잘함
,,,,,5,매우 잘함
,,,,,6,잘 모르겠음
,지난 학기(조사년도 1학기) 학교성적에 대해 얼마나 만족하십니까?,,,YINT1B00,1,매우 불만족
,,,,,2,불만족
,,,,,3,보통
,,,,,4,만족
,,,,,5,매우 만족
,,,,,6,잘 모르겠음
,지난 학기(조사년도 1학기) 학교생활에 얼마나 만족하십니까?,,,YEDU1A00,1,매우 불만족
,,,,,2,불만족
,,,,,3,보통
,,,,,4,만족
,,,,,5,매우 만족
,,,,,6,잘 모르겠음
,지난 학기(2020년도 1학기) 온라인 개학 기간 중 학교생활에 얼마나 만족하십니까?,,,YEDU1A01,1,매우 불만족
,,,,,2,불만족
,,,,,3,보통
,,,,,4,만족
,,,,,5,매우 만족
,,,,,6,잘 모르겠음
,지난 학기(2020년도 1학기) 등교 개학 기간 중 학교생활에 얼마나 만족하십니까?,,,YEDU1A02,1,매우 불만족
,,,,,2,불만족
,,,,,3,보통
,,,,,4,만족
,,,,,5,매우 만족
,,,,,6,잘 모르겠음
,지난 학기(2021년도 1학기) 학교생활에서 등교수업과 원격수업은 일주일 중 평균적으로 며칠씩 했습니까?,등교수업,,YEDU1B01,-,일
,,원격수업,,YEDU1B02,-,일
,지난 학기(2021년도 1학기) 등교수업에 얼마나 만족하십니까?,,,YEDU1C01,1,매우 불만족
,,,,,2,불만족
,,,,,3,보통
,,,,,4,만족
,,,,,5,매우 만족
,,,,,6,잘 모르겠음
,지난 학기(2021년도 1학기) 원격수업에 얼마나 만족하십니까?,,,YEDU1C02,1,매우 불만족
,,,,,2,불만족
,,,,,3,보통
,,,,,4,만족
,,,,,5,매우 만족
,,,,,6,잘 모르겠음
,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.,나는 내가 하고 있는 공부의 의미와 목적을 분명히 안다,,YINT2A01,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부란 도전해 볼만한 것이라고 생각한다,,YINT2A02,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부를 하면 뿌듯해진다,,YINT2A03,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부를 통해 자아실현을 할 수 있다고 생각한다,,YINT2A04,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부할 때 힘이 나고 활기가 생긴다,,YINT2A05,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부할 때 에너지가 생긴다,,YINT2A06,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부할 때 정신적으로 힘이 난다,,YINT2A07,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,아침에 일어나면 수업 들으러 학교에 가고 싶다,,YINT2A08,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부를 잘한다,,YINT2A09,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,나는 공부에 있어 누구에게도 뒤지지 않는다,,YINT2A10,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
