var,label,n_waves,waves
YEDU2A12w1,,1,Y1
YEDU2A12w2,,1,Y2
YEDU2A12w3,,1,Y3
YEDU2A12w4,,1,Y4
YEDU2A12w5,,1,Y5
YEDU2A12w6,,1,Y6
YEDU2A12w7,,1,Y7
YEDU2A13w1,,1,Y1
YEDU2A13w2,,1,Y2
YEDU2A13w3,,1,Y3
YEDU2A13w4,,1,Y4
YEDU2A13w5,,1,Y5
YEDU2A13w6,,1,Y6
YEDU2A13w7,,1,Y7
YEDU3A01w1,,1,Y1
YEDU3A01w2,,1,Y2
YEDU3A01w3,,1,Y3
YEDU3A01w4,,1,Y4
YEDU3A01w5,,1,Y5
YEDU3A01w6,,1,Y6
YEDU3A01w7,,1,Y7
YEDU3A02w1,,1,Y1
YEDU3A02w2,,1,Y2
YEDU3A02w3,,1,Y3
YEDU3A02w4,,1,Y4
YEDU3A02w5,,1,Y5
YEDU3A02w6,,1,Y6
YEDU3A02w7,,1,Y7
YEDU3A03w1,,1,Y1
YEDU3A03w2,,1,Y2
YEDU3A03w3,,1,Y3
YEDU3A03w4,,1,Y4
YEDU3A03w5,,1,Y5
YEDU3A03w6,,1,Y6
YEDU3A03w7,,1,Y7
YEDU3A04w1,,1,Y1
YEDU3A04w2,,1,Y2
YEDU3A04w3,,1,Y3
YEDU3A04w4,,1,Y4
YEDU3A04w5,,1,Y5
YEDU3A04w6,,1,Y6
YEDU3A04w7,,1,Y7
YEDU3A05w1,,1,Y1
YEDU3A05w2,,1,Y2
YEDU3A05w3,,1,Y3
YEDU3A05w4,,1,Y4
YEDU3A05w5,,1,Y5
YEDU3A05w6,,1,Y6
YEDU3A05w7,,1,Y7
YEDU3A06w1,,1,Y1
YEDU3A06w2,,1,Y2
YEDU3A06w3,,1,Y3
YEDU3A06w4,,1,Y4
YEDU3A06w5,,1,Y5
YEDU3A06w6,,1,Y6
YEDU3A06w7,,1,Y7
YEDU3A07w1,,1,Y1
YEDU3A07w2,,1,Y2
YEDU3A07w3,,1,Y3
YEDU3A07w4,,1,Y4
YEDU3A07w5,,1,Y5
YEDU3A07w6,,1,Y6
YEDU3A07w7,,1,Y7
YEDU3A08w1,,1,Y1
YEDU3A08w2,,1,Y2
YEDU3A08w3,,1,Y3
YEDU3A08w4,,1,Y4
YEDU3A08w5,,1,Y5
YEDU3A08w6,,1,Y6
YEDU3A08w7,,1,Y7
YEDU3A09w1,,1,Y1
YEDU3A09w2,,1,Y2
YEDU3A09w3,,1,Y3
YEDU3A09w4,,1,Y4
YEDU3A09w5,,1,Y5
YEDU3A09w6,,1,Y6
YEDU3A09w7,,1,Y7
YEDU3A10w1,,1,Y1
YEDU3A10w2,,1,Y2
YEDU3A10w3,,1,Y3
YEDU3A10w4,,1,Y4
YEDU3A10w5,,1,Y5
YEDU3A10w6,,1,Y6
YEDU3A10w7,,1,Y7
YEDU3A11w1,,1,Y1
YEDU3A11w2,,1,Y2
YEDU3A11w3,,1,Y3
YEDU3A11w4,,1,Y4
YEDU3A11w5,,1,Y5
YEDU3A11w6,,1,Y6
YEDU3A11w7,,1,Y7
YEDU3A12w1,,1,Y1
YEDU3A12w2,,1,Y2
YEDU3A12w3,,1,Y3
YEDU3A12w4,,1,Y4
YEDU3A12w5,,1,Y5
YEDU3A12w6,,1,Y6
YEDU3A12w7,,1,Y7
YEDU3A13w1,,1,Y1
YEDU3A13w2,,1,Y2
YEDU3A13w3,,1,Y3
YEDU3A13w4,,1,Y4
YEDU3A13w5,,1,Y5
YEDU3A13w6,,1,Y6
YEDU3A13w7,,1,Y7
YEDU3A14w1,,1,Y1
YEDU3A14w2,,1,Y2
YEDU3A14w3,,1,Y3
YEDU3A14w4,,1,Y4
YEDU3A14w5,,1,Y5
YEDU3A14w6,,1,Y6
YEDU3A14w7,,1,Y7
YFAM1A01w1,,1,Y1
YFAM1A01w2,,1,Y2
YFAM1A01w3,,1,Y3
YFAM1A01w4,,1,Y4
YFAM1A01w5,,1,Y5
YFAM1A01w6,,1,Y6
YFAM1A01w7,,1,Y7
YFAM1A02w1,,1,Y1
YFAM1A02w2,,1,Y2
YFAM1A02w3,,1,Y3
YFAM1A02w4,,1,Y4
YFAM1A02w5,,1,Y5
YFAM1A02w6,,1,Y6
YFAM1A02w7,,1,Y7
YFAM1A03w1,,1,Y1
YFAM1A03w2,,1,Y2
YFAM1A03w3,,1,Y3
YFAM1A03w4,,1,Y4
YFAM1A03w5,,1,Y5
YFAM1A03w6,,1,Y6
YFAM1A03w7,,1,Y7
YFAM1A04w1,,1,Y1
YFAM1A04w2,,1,Y2
YFAM1A04w3,,1,Y3
YFAM1A04w4,,1,Y4
YFAM1A04w5,,1,Y5
YFAM1A04w6,,1,Y6
YFAM1A04w7,,1,Y7
YFAM1B01w2,,1,Y2
