0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,한국아동·청소년패널조사 2018 중등용 변수 레이아웃,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무,,,,,,
,,,,,,,,w1,w2,w3,w4,w5,w6,w7
,-,-,-,-,-,ID (종단자료 연계를 위한 고유 ID),ID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,가구 ID,HID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,개인 ID,PID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,학교코드,SCLID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,온라인 조사 여부,YONLINE,,,Y,,,,
,-,-,-,-,-,횡단면_원 가중치,WEIGHTA1,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,횡단면_표준화 가중치,WEIGHTA2,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,종단면_원 가중치,WEIGHTB1,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,종단면_표준화 가중치,WEIGHTB2,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계,SIBLING,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계_기타,SIBLING_T,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 형제자매 학년,SGRADE,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,조사 참여 여부_청소년,SURVEY1,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,조사 참여 여부_보호자,SURVEY2,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,코호트 구분,COHORT,Y,Y,Y,Y,Y,Y,Y
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],학교에서 생활하면서 행복함을 느끼지 못한다,YINT2B11,문10-11,문10-11,문10-11,문10-11,문10-11,문10-11,문10-11
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],점수가 잘 나온다 해도 기쁘지 않다,YINT2B12,문10-12,문10-12,문10-12,문10-12,문10-12,문10-12,문10-12
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],시험기간이라도 공부에 전념하지 않는다,YINT2B13,문10-13,문10-13,문10-13,문10-13,문10-13,문10-13,문10-13
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],스스로 알아서 공부하지 않는다,YINT2B14,문10-14,문10-14,문10-14,문10-14,문10-14,문10-14,문10-14
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],수업에 적극적으로 참여하지 않는다,YINT2B15,문10-15,문10-15,문10-15,문10-15,문10-15,문10-15,문10-15
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],스스로 알아서 학습계획을 짜본 적이 없다,YINT2B16,문10-16,문10-16,문10-16,문10-16,문10-16,문10-16,문10-16
,[개인발달],[진로],[진로계획],[장래희망 교육수준],-,향후 목표하는 학업 수준,YFUR1A00,문11,문11,문11,문11,문11,문11,문11
,[개인발달],[진로],[진로계획],[장래직업 결정여부],-,장래 희망직업 결정 여부,YFUR1B00,문12,문12,문12,문12,문12,문12,문12
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,아버지,YFUR2A01,문13-1,문13-1,문13-1,문13-1,문13-1,문13-1,문13-1
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,어머니,YFUR2A02,문13-2,문13-2,문13-2,문13-2,문13-2,문13-2,문13-2
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,형제ㆍ자매,YFUR2A03,문13-3,문13-3,문13-3,문13-3,문13-3,문13-3,문13-3
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,친척ㆍ친지,YFUR2A04,문13-4,문13-4,문13-4,문13-4,문13-4,문13-4,문13-4
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,학교 선생님,YFUR2A05,문13-5,문13-5,문13-5,문13-5,문13-5,문13-5,문13-5
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,상담교사,YFUR2A06,문13-6,문13-6,문13-6,문13-6,문13-6,문13-6,문13-6
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,학원/과외 선생님,YFUR2A07,문13-7,문13-7,문13-7,문13-7,문13-7,문13-7,문13-7
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,기타,YFUR2A08,문13-8,문13-8,문13-8,문13-8,문13-8,문13-8,문13-8
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,기타 (적을 것),YFUR2A08_T,문13-8_T,문13-8_T,문13-8_T,문13-8_T,문13-8_T,문13-8_T,문13-8_T
,[개인발달],[진로],[진로적응력],[진로 관심],-,나는 내 미래의 직업에 대해 많은 관심을 두지 못하고 있는 것 같다,YFUR3A01,,,,문14-1,문14-1,문14-1,문14-1
