0,1,2,3,4,5,6,7,8
,한국아동·청소년패널조사 2018 성인용 변수 레이아웃,,,,,,,
,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 실패자라고 느끼는 경향이 있다,YPSY3A09,문12-9
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 나에 대해 긍정적인 태도를 지니고 있다,YPSY3A10,문12-10
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,칭찬을 받거나 벌을 받아도 금방 다시 주의가 산만해진다,YPSY4A01,문13-1
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,문제를 풀 때 문제를 끝까지 읽지 않는 편이다,YPSY4A02,문13-2
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,오랫동안 집중해야 하는 과제는 하고 싶지 않다,YPSY4A03,문13-3
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,연필이나 지우개 등 학용품을 잘 잃어버린다,YPSY4A04,문13-4
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,주의를 기울이지 않아서 실수를 하거나 사고를 낸다,YPSY4A05,문13-5
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,공부할 때 차분하게 앉아 있기 힘들다,YPSY4A06,문13-6
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,글자를 잘 빠뜨리고 쓰는 편이다,YPSY4A07,문13-7
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,작은 일에도 트집을 잡을 때가 있다,YPSY4B01,문13-8
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,남이 하는 일을 방해할 때가 있다,YPSY4B02,문13-9
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,내가 원하는 것을 못하게 하면 따지거나 덤빈다,YPSY4B03,문13-10
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,별 것 아닌 일로 싸우곤 한다,YPSY4B04,문13-11
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,하루 종일 화가 날 때가 있다,YPSY4B05,문13-12
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,아무 이유 없이 울 때가 있다,YPSY4B06,문13-13
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,깊이 잠들지 못하고 자다가 잠에서 깨곤 한다,YPSY4C01,문13-14
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,머리가 자주 아프다,YPSY4C02,문13-15
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,속이 자주 메슥거린다,YPSY4C03,문13-16
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,공부를 하면 배가 아플 때가 있다,YPSY4C04,문13-17
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,입맛이 없을 때가 있다,YPSY4C05,문13-18
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,자주 피곤하다,YPSY4C06,문13-19
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,숨쉬기 어려울 때가 있다,YPSY4C07,문13-20
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,자주 열이 나는 것처럼 느껴진다,YPSY4C08,문13-21
,[개인발달],[사회/정서/역량발달],[정서문제],[사회적 위축],-,주위에 사람들이 많으면 어색하다,YPSY4D01,문13-22
,[개인발달],[사회/정서/역량발달],[정서문제],[사회적 위축],-,부끄럼을 많이 탄다,YPSY4D02,문13-23
,[개인발달],[사회/정서/역량발달],[정서문제],[사회적 위축],-,다른 사람들에게 내 의견을 분명하게 말하기 어렵다,YPSY4D03,문13-24
,[개인발달],[사회/정서/역량발달],[정서문제],[사회적 위축],-,수줍어한다,YPSY4D04,문13-25
,[개인발달],[사회/정서/역량발달],[정서문제],[사회적 위축],-,사람들 앞에 나서기를 싫어한다,YPSY4D05,문13-26
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,기운이 별로 없다,YPSY4E01,문13-27
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,불행하다고 생각하거나 슬퍼하고 우울해한다,YPSY4E02,문13-28
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,걱정이 많다,YPSY4E03,문13-29
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,죽고 싶은 생각이 든다,YPSY4E04,문13-30
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,울기를 잘한다,YPSY4E05,문13-31
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,어떤 일이 잘못 되었을 때 나 때문이라는 생각을 자주 한다,YPSY4E06,문13-32
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,외롭다,YPSY4E07,문13-33
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,모든 일에 관심과 흥미가 없다,YPSY4E08,문13-34
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,장래가 희망적이지 않은 것 같다,YPSY4E09,문13-35
,[개인발달],[사회/정서/역량발달],[정서문제],[우울],-,모든 일이 힘들다,YPSY4E10,문13-36
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[집단촉진],"그룹활동을 할 때, 친구의 장점이나 능력을 적극적으로 알려준다",YPSY5A01,문14-1
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[집단촉진],"그룹활동을 할 때, 친구가 어려워하면 기꺼이 돕는다",YPSY5A02,문14-2
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[집단촉진],"그룹활동을 할 때, 친구들이 의견을 자유롭게 이야기하도록 분위기를 조성한다",YPSY5A03,문14-3
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[집단촉진],"그룹활동을 할 때, 활용할 수 있는 새로운 방법을 제시한다",YPSY5A04,문14-4
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[집단촉진],그룹에서 하고있는 활동이 의미있는 일이라는 것을 친구에게 이야기 한다,YPSY5A05,문14-5
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[집단촉진],"그룹활동을 할 때, 친구가 다양한 관점에서 생각할 수 있도록 도와준다",YPSY5A06,문14-6
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[팔로워십],"그룹활동을 할 때, 나의 역할에 최선을 다한다",YPSY5A07,문14-7
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[팔로워십],그룹의 리더가 아니더라도 맡은 일보다 많은 일을 하여 그룹활동에 도움이 되고자 한다,YPSY5A08,문14-8
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[팔로워십],내가 속한 그룹에서 가치 있는 사람이 되기위해 능력을 최대한 발휘한다,YPSY5A09,문14-9
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[갈등문제해결],그룹에서 발생한 문제와 관련된 지식이나 정보를 친구들과 공유한다,YPSY5A10,문14-10
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[갈등문제해결],그룹의 문제해결을 위한 구체적인 계획이나 내용을 친구들과 공유한다,YPSY5A11,문14-11
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[갈등문제해결],그룹에서 발생한 문제를 친구들과 자주 이야기 한다,YPSY5A12,문14-12
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[갈등문제해결],"그룹활동을 할 때, 중요한 사항이나 문제점이 생기면 친구들과 함께 해결한다",YPSY5A13,문14-13
,[개인발달],[사회/정서/역량발달],[협동의식],[협동심],[갈등문제해결],그룹에서 발생한 문제에 대해 잘잘못을 따지기 보다는 해결하려고 노력한다,YPSY5A14,문14-14
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,유능한,YPSY6A01,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,매력적인,YPSY6A02,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,영리한,YPSY6A03,문15
